TRV (Visitor),VRT (Visiteur),临时居留签证 (旅游)
TRV (Super Visa),VRT (Super Visa),临时居留签证 (超级签证)
Study Permit,Permis d'études,学习许可
Work Permit,Permis de travail,工作许可
Permanent Residency (Express Entry),Résidence permanente (Entrée express),永久居留 (快速通道)
Permanent Residency (PNP),Résidence permanente (PNP),永久居留 (省提名计划)
Permanent Residency (Quebec-CSQ),Résidence permanente (Québec-CSQ),永久居留 (魁北克CSQ)
Permanent Residency (Spousal),Résidence permanente (Conjoint),永久居留 (配偶)
Permanent Residency (Dependent Child),Résidence permanente (Enfant à charge),永久居留 (受抚养子女)
Permanent Residency (Parents & Grandparents),Résidence permanente (Parents et grands-parents),永久居留 (父母及祖父母)
